root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLrzip;level;level1;level2;level3;level4;level5;level6;level7;level8;level9;unlimitedWindowSize;disableCompressibilityTesting;Performance
1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;208900
1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;340590
1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;384660
1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1062250
1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;223040
1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;234870
1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;248940
1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;257480
1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;80360
1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;87690
1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;93090
1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;106090
1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;128450
1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;146410
1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;187970
1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;198360
1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;50610
1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;45490
1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;48050
1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;50420
1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;53480
1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;673290
1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;679680
1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;674140
1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;2267650
1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;2265330
1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;2265250
1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2275110
