root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLrzip;level;level1;level2;level3;level4;level5;level6;level7;level8;level9;unlimitedWindowSize;disableCompressibilityTesting;Performance
1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;41790
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;42300
1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;43680
1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;43560
1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;45720
1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;274670
1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;53200
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;59650
1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;5811280
1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;40430
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;41900
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;56650
1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;42170
1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;216030
1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;1065840
1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;832650
1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;682360
1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;5588490
