root;encryption;compression;compressionBzip2;compressionGzip;compressionLzo;compressionZpaq;compressionLrzip;level;level1;level2;level3;level4;level5;level6;level7;level8;level9;unlimitedWindowSize;disableCompressibilityTesting;Performance
1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;76470
1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;41790
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;42300
1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;43680
1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;43560
1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;222830
1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;274670
1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;53200
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;59650
1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;5811280
1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;262750
1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;41900
1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;53870
1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;52070
1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;216030
1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;1065840
1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;832650
1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;682360
