Run;Error
45;22.0109665634315
32;21.5336853876891
38;21.9024864016843
99;67.4200504140056
77;19.401738420333
93;23.125539157697
56;21.7342971533534
21;21.6890069981467
19;21.4753730317345
80;22.6936264461575
13;21.0591835005075
64;21.1663210742362
1;22.3545744180782
6;22.375824883186
87;26.3629145140872
69;21.6553253858289
63;21.8831286751781
14;20.0685681331705
26;21.9833274806322
51;22.010532031872
70;21.7746005255076
94;24.0624605072834
35;21.3895400011128
42;21.4285833708984
48;21.6546491780736
31;21.2094430108749
46;19.5128080236481
90;24.7613153162235
74;23.1534053770957
22;22.0989856829209
55;22.1796604812072
28;21.4735202370962
8;20.880511341093
2;21.4395119768964
67;21.475903463702
10;21.9252342561325
89;21.781234587682
83;22.6478090551822
17;22.2541740603833
60;21.8287087642905
84;21.0888009763285
5;22.0238701365494
52;22.2426183758571
25;21.892415071153
58;21.7967068042132
79;23.7129675704045
97;22.1619941664606
73;19.4202926398563
41;21.9373764445447
36;22.5641879637462
95;21.0575469948831
71;21.9324452764182
49;23.954921037967
43;23.4401175609143
34;21.7161007364977
7;21.9148050812938
15;21.9479788428143
62;20.101733050023
86;22.1648630591806
68;21.6914822431741
50;20.7818555254195
27;19.3371829942664
20;21.7522871332356
57;21.7123810873249
65;22.1782957006721
12;19.3851362684817
18;25.2028806285731
81;21.6766589204812
39;21.9981379065886
33;20.92699125274
44;21.9031482242547
92;22.0624599440318
98;19.9978702221859
76;21.2619162718978
72;22.2345907520647
78;21.8794341492224
96;21.7059670107904
37;21.0990293396792
40;21.6440286813508
85;19.3279315356143
61;23.9857789145773
16;31.7070650961958
4;21.570275138675
59;21.8269824292141
24;21.7625363920983
53;21.370890873423
29;21.081525817528
54;21.8662390543204
23;21.8994416466578
3;21.613428459632
9;21.5037450857106
82;20.96718495812
11;21.8432593757326
66;22.2090172659325
88;21.714256220658
47;21.3445192378569
30;21.5089151609292
100;21.942882052415
75;19.4714149401909
91;22.2992271822947
